owner_category,owner_name,parcels,total_lot_acres,avg_lot_sqft,total_assessed_value,cities
4 School / Public Ed,CAMPBELL UNION HIGH SCHOOL DISTRICT,1,3.6,158122,0,CAMPBELL
4 School / Public Ed,HILL UNIFIED S D MORGAN,1,9.3,406787,0,SAN JOSE
4 School / Public Ed,SANTA CLARA UNIFIED SCH DIST,1,7.8,338106,0,SANTA CLARA
4 School / Public Ed,SANTA CLARA UNIFIED SCH DISTRI,1,1.2,52707,0,SANTA CLARA
4 School / Public Ed,SANTA CLARA UNIFIED SCHOOL DIS,1,9.9,429253,0,SUNNYVALE
4 School / Public Ed,GREGORY S D AUGUSTA,1,0.1,6000,910791,MOUNTAIN VIEW
4 School / Public Ed,S D BURBANK,1,0.4,16419,0,SAN JOSE
4 School / Public Ed,GAVILAN COMMUNITY COLLEGE DISTRICT,1,20.0,871200,0,SAN JOSE
4 School / Public Ed,GAVILAN COMMUN COLLEGE DISTRICT,1,35.0,1524164,0,SAN JOSE
4 School / Public Ed,FRANKLIN MCKINLEY SCHOOL DISTRICT,1,17.0,738864,0,SAN JOSE
4 School / Public Ed,FOOTHILL COMMUNITY COLLEGE,1,8.5,371131,0,CUPERTINO
4 School / Public Ed,EVERGREEN S D SCC,1,8.5,368939,0,SAN JOSE
4 School / Public Ed,S D WHISMAN,1,12.8,557746,0,MOUNTAIN VIEW
4 School / Public Ed,EVERGREEN ELEMENTARY SCHOOL DI,1,1.5,67260,0,SAN JOSE
4 School / Public Ed,SUNNYVALE SCHOOL DISTRICT,1,9.3,405108,0,SUNNYVALE
4 School / Public Ed,BERRYESSA UNION SCHOOL DISTRICT,1,1.0,42253,0,SAN JOSE
4 School / Public Ed,CUPERTINO UNION SCHOOL DISTRICT,1,3.6,155945,0,CUPERTINO
4 School / Public Ed,CUPERTINO UNION SCHOOL DISTRIC,1,1.5,64468,0,CUPERTINO
4 School / Public Ed,VIEW UNION H S D MT,1,1.3,56628,0,MOUNTAIN VIEW
4 School / Public Ed,ALTOS S D LOS,1,10.3,446530,0,MOUNTAIN VIEW
4 School / Public Ed,NAGA S D R SRIPATHY,1,0.1,6380,835683,SAN JOSE
4 School / Public Ed,REGENTS OF UNIVERSITY,1,4.0,174240,0,SANTA CLARA
4 School / Public Ed,MORGAN HILL UNIFIED SCH DIST,1,19.3,841196,0,SAN JOSE
4 School / Public Ed,LEE WILLIE S D,1,0.2,7440,125621,MOUNTAIN VIEW
4 School / Public Ed,ROCK UNION S D LESSOR ALUM,1,13.9,605484,0,SAN JOSE
